model,question,games,answers,accuracy,lo,hi
anthropic-claude-haiku-4-5-20251001,value_compare,10,30,1.0,1.0,1.0
anthropic-claude-haiku-4-5-20251001,value_defect_ev,10,30,0.7,0.6666666666666667,0.7666666666666667
google-gemini-3.5-flash-lite,value_compare,10,30,1.0,1.0,1.0
google-gemini-3.5-flash-lite,value_defect_ev,10,30,1.0,1.0,1.0
openai-gpt-5.6-luna,value_compare,10,30,1.0,1.0,1.0
openai-gpt-5.6-luna,value_defect_ev,10,30,1.0,1.0,1.0
qwen-qwen3-235b-a22b-instruct-2507,value_compare,10,30,1.0,1.0,1.0
qwen-qwen3-235b-a22b-instruct-2507,value_defect_ev,10,30,1.0,1.0,1.0
xai-grok-4.20-0309-non-reasoning,value_compare,10,30,0.4666666666666667,0.33333333333333337,0.6
xai-grok-4.20-0309-non-reasoning,value_defect_ev,10,30,0.5666666666666667,0.4666666666666666,0.6666666666666667
