arm,model,p,n,own_mean,own_lo,own_hi,baseline_mean,delta,delta_lo,delta_hi,expected_pay_mean,target_reached
groupgoal,qwen-qwen3-235b-a22b-instruct-2507,0.9,10,30.93333333333333,29.1,32.266666666666666,18.4,12.533333333333331,10.7,13.899999999999999,9.066666666666666,10
groupgoal,xai-grok-4.20-0309-non-reasoning,0.0,10,40.0,40.0,40.0,37.4,2.6000000000000014,1.3666666666666671,4.166666666666664,0.0,10
groupgoal,xai-grok-4.20-0309-non-reasoning,0.1,10,40.0,40.0,40.0,31.93333333333333,8.06666666666667,4.232500000000002,12.06666666666667,0.0,10
groupgoal,xai-grok-4.20-0309-non-reasoning,0.9,10,40.0,40.0,40.0,38.16666666666667,1.8333333333333286,0.7666666666666657,3.1999999999999957,0.0,10
showpool,anthropic-claude-haiku-4-5-20251001,0.0,10,20.8,20.433333333333334,21.166666666666668,20.9,-0.09999999999999787,-0.9000000000000021,0.6999999999999957,19.2,10
showpool,google-gemini-3.5-flash-lite,0.0,10,20.0,20.0,20.0,20.0,0.0,0.0,0.0,20.0,10
showpool,openai-gpt-5.6-luna,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0
showpool,qwen-qwen3-235b-a22b-instruct-2507,0.0,10,18.533333333333335,18.133333333333333,19.0,18.033333333333335,0.5,0.09999999999999787,0.9666666666666686,21.466666666666665,0
showpool,xai-grok-4.20-0309-non-reasoning,0.0,10,20.2,20.0,20.433333333333334,37.4,-17.2,-18.433333333333337,-15.666666666666671,19.8,10
showpool_carry,anthropic-claude-haiku-4-5-20251001,0.9,10,15.6,12.6,18.2,13.8,1.799999999999999,-2.4000000000000004,6.000000000000002,24.4,10
showpool_carry,google-gemini-3.5-flash-lite,0.9,10,10.6,10.0,11.2,10.6,0.0,-1.200000000000001,1.4000000000000004,29.4,10
showpool_carry,openai-gpt-5.6-luna,0.9,10,4.8,3.8,6.0,4.6,0.20000000000000018,-1.0,1.5999999999999996,35.2,10
showpool_carry,qwen-qwen3-235b-a22b-instruct-2507,0.9,10,13.2,12.0,14.0,19.2,-6.0,-7.399999999999999,-4.800000000000001,26.8,10
showpool_carry,xai-grok-4.20-0309-non-reasoning,0.9,10,19.2,18.0,20.0,29.2,-10.0,-14.599999999999998,-5.600000000000001,20.8,10
showpool_defect,anthropic-claude-haiku-4-5-20251001,0.9,10,7.2,6.0,8.6,8.0,-0.7999999999999998,-2.8,1.0,3.279999999999999,0
showpool_defect,google-gemini-3.5-flash-lite,0.9,10,22.6,19.6,25.4,16.6,6.0,2.0,10.0,1.7399999999999998,0
showpool_defect,openai-gpt-5.6-luna,0.9,10,8.2,6.8,9.6,12.0,-3.8000000000000007,-5.8,-1.5999999999999996,3.1799999999999997,0
showpool_defect,qwen-qwen3-235b-a22b-instruct-2507,0.9,10,36.4,35.6,37.2,28.8,7.599999999999998,6.600000000000001,8.600000000000001,0.35999999999999993,0
showpool_defect,xai-grok-4.20-0309-non-reasoning,0.9,10,37.2,35.6,38.8,32.6,4.600000000000001,2.0,7.0,0.2799999999999999,0
