arm,model,p,n,own_mean,own_lo,own_hi,baseline_mean,delta,delta_lo,delta_hi,expected_pay_mean,target_reached
evprobe_p0,anthropic-claude-haiku-4-5-20251001,0.0,10,20.866666666666667,20.366666666666667,21.4,20.9,-0.03333333333333144,-0.9333333333333266,0.8333333333333321,19.133333333333333,9
evprobe_p0,google-gemini-3.5-flash-lite,0.0,10,20.03333333333333,20.0,20.1,20.0,0.03333333333333144,0.0,0.10000000000000142,19.96666666666667,10
evprobe_p0,openai-gpt-5.6-luna,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0
evprobe_p0,qwen-qwen3-235b-a22b-instruct-2507,0.0,10,18.066666666666666,18.0,18.166666666666664,18.033333333333335,0.03333333333333144,-0.06666666666666643,0.13333333333333286,21.933333333333334,0
evprobe_p0,xai-grok-4.20-0309-non-reasoning,0.0,10,36.833333333333336,34.233333333333334,38.733333333333334,37.4,-0.5666666666666629,-3.3999999999999986,1.93333333333333,3.166666666666667,10
groupgoal,anthropic-claude-haiku-4-5-20251001,0.0,10,19.833333333333336,18.9,20.5,20.9,-1.0666666666666629,-2.2333333333333307,-0.06666666666666643,20.166666666666664,7
groupgoal,anthropic-claude-haiku-4-5-20251001,0.1,10,20.8,20.366666666666667,21.266666666666666,20.633333333333333,0.16666666666666785,-0.5,0.8000000000000007,19.2,10
groupgoal,anthropic-claude-haiku-4-5-20251001,0.9,10,21.26666666666667,20.93333333333333,21.633333333333333,21.2,0.06666666666666998,-0.6333333333333329,0.7333333333333307,18.73333333333333,10
groupgoal,google-gemini-3.5-flash-lite,0.0,10,20.333333333333336,20.1,20.56666666666667,20.0,0.3333333333333357,0.10000000000000134,0.56666666666667,19.666666666666664,9
groupgoal,google-gemini-3.5-flash-lite,0.1,10,20.06666666666667,20.0,20.2,20.03333333333333,0.033333333333338544,-0.10000000000000142,0.1999999999999993,19.93333333333333,10
groupgoal,google-gemini-3.5-flash-lite,0.9,10,20.03333333333333,19.933333333333334,20.133333333333333,20.0,0.03333333333333144,-0.06666666666666643,0.13333333333333286,18.136666666666667,9
groupgoal,openai-gpt-5.6-luna,0.0,10,0.6333333333333333,0.4,0.8666666666666666,0.0,0.6333333333333333,0.4,0.8666666666666666,39.36666666666667,0
groupgoal,openai-gpt-5.6-luna,0.1,10,19.700000000000003,19.3,20.06666666666667,19.96666666666667,-0.2666666666666657,-0.7666666666666693,0.1999999999999993,19.46,6
groupgoal,openai-gpt-5.6-luna,0.9,10,19.93333333333333,19.766666666666666,20.066666666666666,19.8,0.1333333333333293,-0.1333333333333293,0.40000000000000213,16.376666666666665,8
groupgoal,qwen-qwen3-235b-a22b-instruct-2507,0.0,10,21.500000000000004,19.7,23.366666666666667,18.033333333333335,3.4666666666666686,1.6666666666666679,5.333333333333336,18.499999999999996,5
groupgoal,qwen-qwen3-235b-a22b-instruct-2507,0.1,10,25.2,23.299166666666668,27.266666666666662,18.366666666666664,6.833333333333336,4.900000000000002,8.899999999999995,14.8,10
